Local time,Open,High,Low,Close,Volume
2020-01-01 00:00:00-05:00,1670.168,1670.168,1670.168,1670.168,0.0
2020-01-01 04:00:00-05:00,1670.168,1670.168,1670.168,1670.168,0.0
2020-01-01 08:00:00-05:00,1670.168,1670.168,1670.168,1670.168,0.0
2020-01-01 12:00:00-05:00,1670.168,1670.168,1670.168,1670.168,0.0
2020-01-01 16:00:00-05:00,1670.168,1674.175,1670.168,1673.475,9.91
2020-01-01 20:00:00-05:00,1673.6,1674.5,1671.165,1672.767,17.82
2020-01-02 00:00:00-05:00,1672.865,1678.7,1671.964,1678.364,24.1
2020-01-02 04:00:00-05:00,1678.263,1681.374,1678.064,1679.863,24.19
2020-01-02 08:00:00-05:00,1679.767,1681.771,1651.663,1655.875,108.78999999999999
2020-01-02 12:00:00-05:00,1655.975,1667.568,1652.173,1667.568,59.21
2020-01-02 16:00:00-05:00,1667.473,1671.371,1666.366,1669.672,12.36
2020-01-02 20:00:00-05:00,1669.563,1670.175,1650.063,1652.565,67.97
2020-01-03 00:00:00-05:00,1652.666,1653.271,1644.075,1647.773,61.06
2020-01-03 04:00:00-05:00,1647.674,1647.97,1636.668,1647.265,62.86
2020-01-03 08:00:00-05:00,1647.168,1659.573,1646.075,1657.576,128.4
2020-01-03 12:00:00-05:00,1657.674,1663.47,1653.569,1659.772,93.22
2020-01-03 16:00:00-05:00,1660.076,1661.2,1658.569,1658.673,5.84
2020-01-03 20:00:00-05:00,1658.673,1658.673,1658.673,1658.673,0.0
2020-01-04 00:00:00-05:00,1658.673,1658.673,1658.673,1658.673,0.0
2020-01-04 04:00:00-05:00,1658.673,1658.673,1658.673,1658.673,0.0
2020-01-04 08:00:00-05:00,1658.673,1658.673,1658.673,1658.673,0.0
2020-01-04 12:00:00-05:00,1658.673,1658.673,1658.673,1658.673,0.0
2020-01-04 16:00:00-05:00,1658.673,1658.673,1658.673,1658.673,0.0
2020-01-04 20:00:00-05:00,1658.673,1658.673,1658.673,1658.673,0.0
2020-01-05 00:00:00-05:00,1658.673,1658.673,1658.673,1658.673,0.0
2020-01-05 04:00:00-05:00,1658.673,1658.673,1658.673,1658.673,0.0
2020-01-05 08:00:00-05:00,1658.673,1658.673,1658.673,1658.673,0.0
2020-01-05 12:00:00-05:00,1658.673,1658.673,1658.673,1658.673,0.0
2020-01-05 16:00:00-05:00,1658.673,1658.673,1648.168,1652.267,29.89
2020-01-05 20:00:00-05:00,1652.368,1655.37,1650.071,1655.065,32.129999999999995
2020-01-06 00:00:00-05:00,1655.266,1655.766,1644.071,1644.176,54.989999999999995
2020-01-06 04:00:00-05:00,1644.271,1651.77,1643.6,1651.165,46.94
2020-01-06 08:00:00-05:00,1650.97,1659.771,1644.469,1659.463,118.25999999999999
2020-01-06 12:00:00-05:00,1659.563,1664.876,1658.364,1663.076,65.08
2020-01-06 16:00:00-05:00,1662.974,1663.669,1659.276,1662.073,20.55
2020-01-06 20:00:00-05:00,1661.973,1665.866,1661.567,1665.065,26.65
2020-01-07 00:00:00-05:00,1665.0,1666.475,1659.263,1664.474,56.629999999999995
2020-01-07 04:00:00-05:00,1664.564,1665.0,1658.77,1661.67,42.89
2020-01-07 08:00:00-05:00,1661.771,1663.274,1651.264,1657.769,124.29
2020-01-07 12:00:00-05:00,1657.663,1660.675,1656.27,1658.266,59.99
